
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 25 January 2017]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 super output area - lower layer","mnemonic","All households","Owned","Shared ownership (part owned and part rented)","Social rented","Private rented","Living rent free"
"Hammersmith and Fulham 008C","E01001927",557,377,0,35,142,3
"Hammersmith and Fulham 008D","E01001930",842,287,11,315,222,7
"Hammersmith and Fulham 009A","E01001895",674,255,2,185,219,13
"Hammersmith and Fulham 009B","E01001896",669,206,3,234,221,5
"Hammersmith and Fulham 009C","E01001897",619,283,2,146,186,2
"Hammersmith and Fulham 009D","E01001929",597,354,2,68,161,12
"Hammersmith and Fulham 010A","E01001851",696,344,2,108,234,8
"Hammersmith and Fulham 010B","E01001855",894,362,3,153,369,7
"Hammersmith and Fulham 010C","E01001856",730,167,3,287,264,9
"Hammersmith and Fulham 010D","E01001869",574,253,3,93,209,16
"Hammersmith and Fulham 010E","E01001873",689,211,5,250,218,5
"Hammersmith and Fulham 011A","E01001928",722,288,15,207,199,13
"Hammersmith and Fulham 011B","E01001931",709,227,24,161,291,6
"Hammersmith and Fulham 011C","E01001932",757,201,11,209,325,11
"Hammersmith and Fulham 011D","E01001933",635,323,23,124,155,10
"Hammersmith and Fulham 012A","E01001866",704,288,11,93,299,13
"Hammersmith and Fulham 012B","E01001867",612,243,8,88,263,10
"Hammersmith and Fulham 012C","E01001868",603,66,1,362,164,10
"Hammersmith and Fulham 012D","E01001870",1009,328,1,131,538,11
"Hammersmith and Fulham 012E","E01001871",769,308,2,96,340,23
"Hammersmith and Fulham 012F","E01001872",759,263,5,141,338,12
"Hammersmith and Fulham 013A","E01001893",504,97,1,297,103,6
"Hammersmith and Fulham 013B","E01001894",602,152,1,262,173,14
"Hammersmith and Fulham 013C","E01001898",736,227,17,138,337,17
"Hammersmith and Fulham 013D","E01001899",691,94,13,448,122,14
"Hammersmith and Fulham 013E","E01001900",723,139,5,370,195,14
"Hammersmith and Fulham 014A","E01001889",593,274,6,116,190,7
"Hammersmith and Fulham 014B","E01001910",840,252,2,179,398,9
"Hammersmith and Fulham 014C","E01001913",774,339,6,29,383,17
"Hammersmith and Fulham 014D","E01001914",887,224,7,174,469,13
"Hammersmith and Fulham 015A","E01001885",538,51,2,423,51,11
"Hammersmith and Fulham 015B","E01001908",875,254,2,119,490,10
"Hammersmith and Fulham 015C","E01001909",821,253,3,282,266,17
"Hammersmith and Fulham 015D","E01001911",751,133,25,450,124,19
"Hammersmith and Fulham 015E","E01001912",600,93,5,351,127,24
"Hammersmith and Fulham 016A","E01001886",628,206,6,243,159,14
"Hammersmith and Fulham 016B","E01001887",658,184,6,286,180,2
"Hammersmith and Fulham 016C","E01001890",950,190,1,466,283,10
"Hammersmith and Fulham 016D","E01001892",605,167,2,303,121,12
"Hammersmith and Fulham 017A","E01001880",757,182,20,291,251,13
"Hammersmith and Fulham 017B","E01001881",681,282,2,116,276,5
"Hammersmith and Fulham 017C","E01001882",702,303,5,77,306,11
"Hammersmith and Fulham 017D","E01001883",734,185,8,257,272,12
"Hammersmith and Fulham 017E","E01001884",931,186,21,431,280,13
"Hammersmith and Fulham 018A","E01001888",644,363,12,101,152,16
"Hammersmith and Fulham 018B","E01001891",863,323,6,63,459,12
"Hammersmith and Fulham 018C","E01001917",684,295,7,191,180,11
"Hammersmith and Fulham 018D","E01001918",622,360,4,85,152,21
"Hammersmith and Fulham 018E","E01001919",639,404,9,77,138,11
"Hammersmith and Fulham 019A","E01001879",633,219,2,207,195,10
"Hammersmith and Fulham 019B","E01001901",695,362,4,96,227,6
"Hammersmith and Fulham 019C","E01001902",814,272,3,181,348,10
"Hammersmith and Fulham 019D","E01001903",681,219,7,262,184,9
"Hammersmith and Fulham 020A","E01001920",828,198,7,398,212,13
"Hammersmith and Fulham 020B","E01001921",663,289,2,147,213,12
"Hammersmith and Fulham 020C","E01001922",671,375,4,86,198,8
"Hammersmith and Fulham 020D","E01001923",653,281,3,169,190,10
"Hammersmith and Fulham 020E","E01001924",604,350,3,41,199,11
"Hammersmith and Fulham 021A","E01001947",591,84,1,428,72,6
"Hammersmith and Fulham 021B","E01001948",922,377,72,140,327,6
"Hammersmith and Fulham 021C","E01001949",658,298,6,59,285,10
"Hammersmith and Fulham 021D","E01001950",636,317,3,45,255,16
"Hammersmith and Fulham 021E","E01001951",705,276,4,168,246,11
"Hammersmith and Fulham 021F","E01001953",610,144,2,201,255,8
"Hammersmith and Fulham 022A","E01001904",681,356,5,67,242,11
"Hammersmith and Fulham 022B","E01001905",750,360,4,104,272,10
"Hammersmith and Fulham 022C","E01001906",656,308,5,94,246,3
"Hammersmith and Fulham 022D","E01001907",563,287,4,74,187,11
"Hammersmith and Fulham 023A","E01001935",927,374,9,284,250,10
"Hammersmith and Fulham 023C","E01001939",985,281,89,407,177,31
"Hammersmith and Fulham 023D","E01032788",496,170,3,177,142,4
"Hammersmith and Fulham 023E","E01032789",586,160,41,180,194,11
"Hammersmith and Fulham 023F","E01032790",557,174,3,170,188,22
"Hammersmith and Fulham 024A","E01001915",608,336,7,91,161,13
"Hammersmith and Fulham 024B","E01001916",689,443,9,17,186,34
"Hammersmith and Fulham 024C","E01001926",613,373,4,41,189,6
"Hammersmith and Fulham 024D","E01001952",809,273,7,130,385,14
"Hammersmith and Fulham 025A","E01001925",624,362,5,76,168,13
"Hammersmith and Fulham 025B","E01001934",699,211,7,314,150,17
"Hammersmith and Fulham 025C","E01001937",760,364,8,94,284,10
"Hammersmith and Fulham 025D","E01001938",616,169,54,279,106,8
"Haringey 001A","E01001969",857,278,5,224,337,13
"Haringey 001B","E01001971",784,151,22,453,141,17
"Haringey 001C","E01001974",959,424,9,81,433,12
"Haringey 001D","E01001975",776,313,14,91,351,7
"Haringey 002A","E01002036",637,226,3,249,157,2
"Haringey 002B","E01002037",697,118,4,349,216,10
"Haringey 002C","E01002039",639,58,0,501,65,15
"Haringey 002D","E01002040",740,262,15,233,218,12
"Haringey 004A","E01001962",641,417,9,104,104,7
"Haringey 004B","E01001970",728,180,42,293,205,8
"Haringey 004C","E01001972",749,286,3,274,174,12
"Haringey 004D","E01001973",943,417,33,230,254,9
"Haringey 005A","E01002090",531,222,7,201,99,2
"Haringey 005B","E01002093",645,167,8,372,84,14
"Haringey 005C","E01002096",583,184,4,332,57,6
"Haringey 005D","E01002097",592,207,3,273,97,12
"Haringey 006A","E01002091",635,188,7,346,85,9
"Haringey 006B","E01002092",689,166,28,211,268,16
"Haringey 006C","E01002094",541,168,5,268,89,11
"Haringey 006D","E01002095",604,130,6,344,109,15
"Haringey 007A","E01002098",604,276,5,101,217,5
"Haringey 007B","E01002101",698,358,4,56,271,9
"Haringey 007C","E01002102",752,261,5,118,362,6
"Haringey 007D","E01002105",861,214,1,176,455,15
"Haringey 008A","E01002099",813,160,7,454,175,17
"Haringey 008B","E01002100",680,261,32,185,189,13
"Haringey 008C","E01002103",646,293,13,94,238,8
"Haringey 008D","E01002104",501,270,3,105,114,9
"Haringey 009A","E01001963",691,504,0,45,134,8
"Haringey 009B","E01001964",667,373,4,69,218,3
"Haringey 009C","E01001965",657,467,2,68,115,5
"Haringey 009D","E01001966",535,400,1,26,106,2
"Haringey 010A","E01002027",552,207,2,170,168,5
"Haringey 010B","E01002028",645,256,6,179,194,10
"Haringey 010C","E01002032",759,199,7,384,154,15
"Haringey 010D","E01002033",709,207,2,316,170,14
"Haringey 011A","E01001976",635,240,6,180,198,11
"Haringey 011B","E01001977",605,188,6,204,190,17
"Haringey 011C","E01001978",819,212,8,336,245,18
"Haringey 011D","E01001979",846,177,47,313,281,28
"Haringey 012A","E01002074",849,213,28,372,220,16
"Haringey 012B","E01002077",686,94,16,400,156,20
"Haringey 012C","E01002079",539,259,3,83,187,7
"Haringey 012D","E01002081",615,122,0,343,140,10
"Haringey 013A","E01002082",568,54,1,451,46,16
"Haringey 013B","E01002086",605,224,2,219,146,14
"Haringey 013C","E01002088",688,335,4,112,228,9
"Haringey 013D","E01002089",644,38,4,549,39,14
"Haringey 014A","E01001967",633,457,2,36,137,1
"Haringey 014B","E01001968",778,406,1,66,303,2
"Haringey 014C","E01001996",698,388,2,56,244,8
"Haringey 014D","E01001997",730,297,1,28,398,6
"Haringey 015A","E01002075",595,206,2,232,140,15
"Haringey 015B","E01002076",639,264,7,168,189,11
"Haringey 015C","E01002078",951,285,15,431,209,11
"Haringey 015D","E01002080",510,235,5,80,175,15
"Haringey 016A","E01002026",711,91,1,502,101,16
"Haringey 016B","E01002029",740,133,107,315,174,11
"Haringey 016C","E01002030",658,248,18,116,263,13
"Haringey 016D","E01002031",764,220,8,132,396,8
"Haringey 017A","E01001991",766,299,3,50,410,4
"Haringey 017B","E01001992",672,449,2,29,188,4
"Haringey 017C","E01001993",609,463,1,47,88,10
"Haringey 017D","E01001995",898,434,43,302,108,11
"Haringey 018A","E01001980",673,300,6,129,229,9
"Haringey 018B","E01001981",601,229,5,131,223,13
"Haringey 018C","E01001982",676,289,4,146,228,9
"Haringey 018D","E01001983",612,326,11,104,164,7
"Haringey 019A","E01002083",543,299,2,33,203,6
"Haringey 019B","E01002084",619,305,5,102,196,11
"Haringey 019C","E01002085",821,260,15,216,317,13
"Haringey 019D","E01002087",714,238,2,192,266,16
"Haringey 020B","E01002014",797,308,4,147,328,10
"Haringey 020C","E01002015",668,267,6,284,103,8
"Haringey 020D","E01002018",602,293,3,216,87,3
"Haringey 020E","E01033085",908,239,62,211,391,5
"Haringey 020F","E01033086",488,63,3,344,65,13
"Haringey 021A","E01002020",706,331,3,118,248,6
"Haringey 021B","E01002022",867,308,1,31,516,11
"Haringey 021C","E01002023",609,414,2,58,124,11
"Haringey 021D","E01002025",670,447,1,27,190,5
"Haringey 022A","E01002013",595,398,5,67,122,3
"Haringey 022B","E01002019",503,396,1,20,83,3
"Haringey 022C","E01002021",603,432,3,60,106,2
"Haringey 022D","E01002024",534,298,10,108,105,13
"Haringey 023A","E01001998",865,355,4,69,423,14
"Haringey 023B","E01001999",819,343,2,75,380,19
"Haringey 023C","E01002003",929,151,5,252,499,22
"Haringey 023D","E01002004",710,365,5,110,225,5
"Haringey 024A","E01002067",700,181,8,340,157,14
"Haringey 024B","E01002069",880,208,5,305,347,15
"Haringey 024C","E01002070",789,358,6,143,273,9
"Haringey 024D","E01002073",681,204,2,271,192,12
"Haringey 025A","E01002066",781,109,57,439,165,11
"Haringey 025B","E01002068",739,209,24,193,305,8
"Haringey 025C","E01002071",675,127,25,349,165,9
"Haringey 025D","E01002072",680,193,16,285,175,11
"Haringey 026A","E01002043",742,279,6,117,329,11
"Haringey 026B","E01002045",803,194,43,294,257,15
"Haringey 026C","E01002046",676,226,8,262,165,15
"Haringey 026D","E01002049",705,267,18,243,163,14
"Haringey 027A","E01002042",541,260,4,60,212,5
"Haringey 027B","E01002044",693,284,4,73,327,5
"Haringey 027C","E01002047",592,244,4,74,261,9
"Haringey 027D","E01002048",690,295,1,163,224,7
