
"KS403EW - Rooms, bedrooms and central heating"
"ONS Crown Copyright Reserved [from Nomis on 25 January 2017]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 super output area - lower layer","mnemonic","All categories: Type of central heating in household","Does not have central heating","Does have central heating","Occupancy rating (rooms) of -1 or less","Occupancy rating (bedrooms) of -1 or less","Average household size","Average number of rooms per household","Average number of bedrooms per household"
"Camden 027D","E01000920",946,54,892,324,101,2.0,3.8,1.9
"Camden 028A","E01000855",1111,52,1059,667,102,1.5,2.9,1.6
"Camden 028B","E01000914",970,72,898,316,95,1.8,3.6,1.8
"Camden 028C","E01000918",935,43,892,361,134,2.0,3.5,1.7
"Camden 028D","E01000919",834,49,785,343,102,2.0,3.5,1.8
"City of London 001A","E01000001",876,10,866,227,39,1.7,3.6,1.8
"City of London 001B","E01000002",830,15,815,183,33,1.7,3.8,1.8
"City of London 001C","E01000003",817,23,794,368,51,1.5,2.8,1.4
"City of London 001E","E01000005",467,9,458,207,81,2.1,3.3,1.7
"City of London 001F","E01032739",676,54,622,218,28,1.5,3.3,1.6
"City of London 001G","E01032740",719,78,641,314,26,1.5,3.1,1.5
"Hackney 001A","E01001808",558,58,500,166,102,3.3,4.8,2.7
"Hackney 001B","E01001809",610,19,591,190,96,3.2,4.9,2.7
"Hackney 001C","E01001814",559,10,549,203,97,3.0,4.4,2.4
"Hackney 001D","E01001823",538,7,531,155,98,3.3,4.9,2.7
"Hackney 001E","E01001825",428,5,423,111,71,3.7,5.4,3.1
"Hackney 002A","E01001714",632,7,625,225,123,2.3,3.8,2.1
"Hackney 002D","E01001811",646,14,632,178,109,2.3,4.1,2.2
"Hackney 002E","E01001813",525,17,508,200,104,2.4,3.8,2.2
"Hackney 002F","E01033701",760,33,727,250,152,2.4,4.1,2.3
"Hackney 003A","E01001799",485,15,470,111,76,3.3,4.9,2.6
"Hackney 003B","E01001802",471,11,460,159,71,2.6,4.2,2.3
"Hackney 003C","E01001804",464,20,444,116,72,3.3,5.3,2.8
"Hackney 003D","E01001807",693,38,655,225,108,2.6,4.3,2.3
"Hackney 003E","E01001812",614,9,605,172,100,2.8,4.6,2.4
"Hackney 004A","E01001725",573,18,555,162,100,3.3,4.9,2.6
"Hackney 004B","E01001726",464,5,459,146,103,2.9,4.3,2.5
"Hackney 004C","E01001800",643,7,636,149,111,2.5,3.9,1.9
"Hackney 004D","E01001824",539,13,526,162,115,2.8,4.4,2.3
"Hackney 004E","E01001826",585,16,569,158,113,3.0,4.5,2.4
"Hackney 006A","E01001723",671,30,641,216,107,2.9,4.7,2.5
"Hackney 006B","E01001724",980,55,925,375,140,2.3,3.7,1.9
"Hackney 006C","E01001727",573,5,568,146,95,3.3,5.2,2.8
"Hackney 006D","E01001768",719,21,698,202,96,2.5,4.6,2.5
"Hackney 006E","E01001769",662,17,645,182,80,2.4,4.3,2.3
"Hackney 007A","E01001715",673,54,619,281,83,2.0,3.5,1.9
"Hackney 007B","E01001716",633,36,597,247,84,2.0,3.5,1.9
"Hackney 007C","E01001717",427,7,420,93,72,2.9,4.6,2.5
"Hackney 007D","E01001718",824,27,797,279,82,2.2,4.0,2.2
"Hackney 007E","E01001719",484,3,481,139,50,2.3,4.0,2.3
"Hackney 007F","E01001720",785,29,756,214,100,2.2,4.1,2.1
"Hackney 008A","E01001742",789,21,768,201,125,2.3,4.1,2.1
"Hackney 008B","E01001801",588,25,563,214,98,2.7,4.2,2.3
"Hackney 008C","E01001803",719,39,680,144,67,2.6,4.8,2.6
"Hackney 008D","E01001806",714,9,705,165,96,2.2,4.1,2.0
"Hackney 009A","E01001741",599,12,587,140,63,2.5,4.5,2.5
"Hackney 009B","E01001805",510,16,494,165,73,2.4,4.2,2.2
"Hackney 009C","E01001829",696,18,678,140,59,2.6,4.8,2.7
"Hackney 009D","E01001831",745,41,704,277,124,2.3,3.8,2.0
"Hackney 009E","E01001832",642,16,626,168,76,2.5,4.4,2.4
"Hackney 010A","E01001764",696,16,680,193,119,2.4,4.1,2.1
"Hackney 010B","E01001765",722,7,715,251,128,2.4,3.8,2.0
"Hackney 010D","E01001767",628,28,600,199,115,2.5,4.3,2.3
"Hackney 010E","E01001770",784,10,774,244,125,2.2,3.8,1.9
"Hackney 010F","E01033703",625,23,602,231,103,2.2,3.8,2.1
"Hackney 010G","E01033713",601,20,581,198,72,2.2,3.8,2.0
"Hackney 011A","E01001792",620,16,604,124,85,2.8,5.2,2.8
"Hackney 011B","E01001793",656,18,638,173,86,2.6,4.6,2.6
"Hackney 011C","E01001794",656,24,632,181,84,2.7,4.9,2.7
"Hackney 011D","E01001795",571,25,546,184,77,2.6,4.6,2.5
"Hackney 011E","E01001796",737,47,690,278,97,2.2,4.0,2.2
"Hackney 012A","E01001736",707,15,692,175,71,2.3,4.3,2.2
"Hackney 012B","E01001737",754,31,723,205,71,2.4,4.3,2.4
"Hackney 012C","E01001738",785,14,771,238,92,2.2,4.0,2.1
"Hackney 012D","E01001739",898,17,881,232,99,2.3,4.1,2.2
"Hackney 013A","E01001786",717,13,704,211,129,2.5,4.2,2.3
"Hackney 013B","E01001787",628,14,614,181,97,2.5,4.2,2.2
"Hackney 013C","E01001788",670,9,661,203,123,2.4,4.0,2.0
"Hackney 013D","E01001790",492,7,485,159,103,2.7,4.1,2.3
"Hackney 014A","E01001740",624,19,605,186,113,2.5,4.0,2.2
"Hackney 014B","E01001747",943,22,921,303,135,2.3,4.0,2.2
"Hackney 014C","E01001830",932,18,914,293,116,2.0,3.7,1.9
"Hackney 014D","E01001833",931,22,909,297,165,2.3,4.0,2.1
"Hackney 014E","E01001834",862,29,833,304,138,2.4,4.0,2.1
"Hackney 014F","E01001835",483,9,474,97,55,2.6,4.6,2.5
"Hackney 015A","E01001733",701,20,681,189,103,2.6,4.5,2.4
"Hackney 015B","E01001785",569,23,546,123,88,2.6,4.7,2.6
"Hackney 015C","E01001789",646,15,631,137,85,2.7,4.8,2.7
"Hackney 015D","E01001791",500,20,480,114,74,3.1,5.0,2.9
"Hackney 016A","E01001745",958,18,940,345,187,2.3,3.9,2.0
"Hackney 016B","E01001746",632,8,624,181,109,2.6,4.2,2.2
"Hackney 016C","E01001757",654,12,642,213,131,2.6,4.1,2.2
"Hackney 016D","E01001758",884,16,868,353,164,2.4,3.7,2.0
"Hackney 016E","E01001759",750,18,732,235,131,2.4,4.1,2.1
"Hackney 016F","E01001761",869,24,845,261,125,2.0,3.7,1.9
"Hackney 017A","E01001731",1033,19,1014,382,156,2.2,3.8,2.0
"Hackney 017B","E01001734",849,50,799,323,120,2.1,3.7,2.0
"Hackney 017C","E01001760",765,26,739,265,130,2.3,3.8,2.0
"Hackney 017D","E01001762",820,32,788,317,131,2.2,3.7,1.9
"Hackney 018A","E01001846",535,5,530,123,76,2.3,4.0,2.1
"Hackney 018B","E01001847",467,18,449,127,84,2.4,4.0,2.1
"Hackney 018C","E01001848",655,8,647,154,87,2.5,4.5,2.3
"Hackney 018D","E01001849",977,23,954,334,176,2.4,4.0,2.1
"Hackney 019A","E01001729",863,18,845,335,186,2.3,3.7,1.9
"Hackney 019B","E01001730",801,21,780,284,155,2.4,3.9,2.0
"Hackney 019C","E01001732",696,17,679,249,139,2.5,3.8,2.0
"Hackney 019D","E01001735",661,9,652,135,87,2.5,4.5,2.4
"Hackney 019E","E01001838",705,20,685,233,149,2.5,3.9,2.0
"Hackney 019F","E01001850",676,23,653,190,127,2.7,4.1,2.2
"Hackney 020A","E01001748",1090,40,1050,409,139,2.1,3.7,2.0
"Hackney 020B","E01001749",743,21,722,214,91,2.3,4.2,2.2
"Hackney 020C","E01001763",742,23,719,226,96,2.2,4.0,2.1
"Hackney 020D","E01001816",640,11,629,149,84,2.5,4.6,2.5
"Hackney 020E","E01001819",684,9,675,136,65,2.3,4.6,2.4
"Hackney 021B","E01001744",786,7,779,196,106,2.4,4.5,2.3
"Hackney 021C","E01001750",782,25,757,255,104,2.4,4.2,2.3
"Hackney 021D","E01001751",676,26,650,114,51,2.3,4.9,2.5
"Hackney 021E","E01001756",987,28,959,342,121,2.2,4.0,2.1
"Hackney 021F","E01033698",613,9,604,192,105,2.1,3.7,1.8
"Hackney 021G","E01033699",585,16,569,253,102,2.1,3.5,1.8
"Hackney 021H","E01033700",697,13,684,328,75,2.2,3.4,2.0
"Hackney 021I","E01033707",614,24,590,287,97,2.1,3.5,1.9
"Hackney 022A","E01001836",857,34,823,226,96,2.2,4.0,2.1
"Hackney 022B","E01001840",715,6,709,206,119,2.3,4.1,2.2
"Hackney 022C","E01001841",626,11,615,125,67,2.3,4.5,2.2
"Hackney 022D","E01001844",812,17,795,192,73,2.3,4.9,2.6
"Hackney 022E","E01001845",680,8,672,179,99,2.3,4.1,2.2
"Hackney 023B","E01001837",665,22,643,124,61,2.2,4.2,2.2
"Hackney 023C","E01001839",941,31,910,436,130,2.2,3.6,2.0
"Hackney 023D","E01001842",631,16,615,202,127,2.5,4.2,2.2
"Hackney 023E","E01001843",502,11,491,101,54,2.5,4.8,2.5
"Hackney 023F","E01033704",763,27,736,332,85,2.1,3.4,1.9
"Hackney 023G","E01033712",661,28,633,290,104,2.4,3.8,2.1
"Hackney 024A","E01001772",459,1,458,160,83,2.3,3.8,2.0
"Hackney 024B","E01001774",875,32,843,341,141,2.4,3.8,2.0
"Hackney 024C","E01001775",759,28,731,286,139,2.3,3.8,2.0
"Hackney 024D","E01001815",692,11,681,213,138,2.6,4.4,2.3
"Hackney 024E","E01001820",599,13,586,156,96,2.4,4.2,2.3
"Hackney 024F","E01001821",644,19,625,207,122,2.3,3.9,2.0
"Hackney 025A","E01001752",1060,76,984,389,137,2.2,3.6,2.1
"Hackney 025B","E01001753",687,28,659,219,139,2.4,3.9,2.0
"Hackney 025C","E01001754",1135,69,1066,373,153,2.1,3.7,1.9
"Hackney 025D","E01001755",724,13,711,237,117,2.4,3.9,2.1
"Hackney 025E","E01001773",860,14,846,339,135,2.4,3.8,2.1
"Hackney 025F","E01001776",634,14,620,209,114,2.3,3.9,2.0
"Hackney 026A","E01001779",1121,25,1096,464,152,2.2,3.6,1.9
"Hackney 026B","E01001781",731,18,713,254,134,2.3,3.8,2.0
"Hackney 026C","E01001782",1053,37,1016,368,130,2.2,3.7,2.0
"Hackney 026D","E01001783",863,48,815,297,161,2.2,3.7,1.9
"Hackney 027B","E01001777",1043,39,1004,452,162,2.3,3.6,2.0
"Hackney 027D","E01001780",916,20,896,242,130,2.0,3.7,1.8
"Hackney 027E","E01001784",797,41,756,272,153,2.3,3.8,2.1
"Hackney 027F","E01033706",764,44,720,386,107,2.0,3.3,1.8
"Hackney 027G","E01033708",862,48,814,467,83,1.8,3.0,1.6
"Hackney 027H","E01033709",789,42,747,382,111,2.0,3.3,1.9
"Hackney 027I","E01033711",501,34,467,217,63,1.9,3.5,1.9
"Hackney 028A","E01001798",694,23,671,242,127,2.6,4.2,2.4
"Hackney 028B","E01001828",831,20,811,264,136,2.5,4.0,2.1
"Hackney 028C","E01033702",480,23,457,196,71,2.5,3.6,2.0
"Hackney 028D","E01033705",576,9,567,225,82,2.5,4.1,2.3
"Hackney 028E","E01033710",532,19,513,279,94,2.2,3.2,1.8
"Hackney 029A","E01001722",860,20,840,247,136,2.4,4.0,2.0
"Hackney 029B","E01001728",627,15,612,198,140,3.2,4.5,2.4
"Hackney 029C","E01001822",706,7,699,230,150,2.5,4.0,2.1
"Hackney 029D","E01001827",716,11,705,214,131,2.7,4.3,2.3
"Hammersmith and Fulham 001A","E01001874",966,17,949,429,134,2.1,3.6,1.9
"Hammersmith and Fulham 001B","E01001875",666,15,651,161,103,2.8,4.7,2.6
"Hammersmith and Fulham 001C","E01001876",834,19,815,434,126,2.3,3.3,1.9
"Hammersmith and Fulham 001D","E01001877",603,25,578,197,69,2.2,3.8,2.0
"Hammersmith and Fulham 001E","E01001878",605,13,592,142,122,2.8,4.6,2.5
"Hammersmith and Fulham 002A","E01001955",674,16,658,214,136,2.7,4.4,2.4
"Hammersmith and Fulham 002B","E01001957",605,11,594,235,137,2.7,4.1,2.3
"Hammersmith and Fulham 002C","E01001958",614,8,606,245,127,2.7,4.1,2.3
"Hammersmith and Fulham 002D","E01001961",540,5,535,192,128,2.9,4.2,2.4
"Hammersmith and Fulham 003A","E01001954",649,11,638,161,81,2.3,4.4,2.3
"Hammersmith and Fulham 003B","E01001956",603,12,591,120,75,2.6,5.0,2.7
"Hammersmith and Fulham 003C","E01001959",588,20,568,122,79,2.9,5.1,2.8
"Hammersmith and Fulham 003D","E01001960",750,19,731,244,132,2.5,4.3,2.3
"Hammersmith and Fulham 004A","E01001943",905,25,880,344,118,2.1,3.7,2.0
"Hammersmith and Fulham 004B","E01001944",869,15,854,377,154,1.9,3.2,1.6
"Hammersmith and Fulham 004C","E01001945",754,24,730,198,103,2.3,4.3,2.3
"Hammersmith and Fulham 004D","E01001946",702,10,692,204,105,2.3,4.1,2.2
"Hammersmith and Fulham 005A","E01001862",830,25,805,261,129,2.1,3.7,1.8
"Hammersmith and Fulham 005B","E01001940",740,25,715,257,127,2.1,3.7,1.8
"Hammersmith and Fulham 005C","E01001941",717,29,688,299,147,2.3,3.8,2.0
"Hammersmith and Fulham 005D","E01001942",865,30,835,269,133,2.2,4.0,2.0
"Hammersmith and Fulham 006A","E01001858",732,37,695,182,91,2.2,4.1,2.2
"Hammersmith and Fulham 006B","E01001860",795,34,761,329,140,2.2,3.7,1.9
"Hammersmith and Fulham 006C","E01001861",654,13,641,233,93,2.3,3.9,2.0
"Hammersmith and Fulham 006D","E01001863",671,14,657,163,70,2.3,4.3,2.3
"Hammersmith and Fulham 006E","E01001864",761,41,720,213,76,2.1,3.9,2.0
"Hammersmith and Fulham 007A","E01001852",956,47,909,330,105,1.9,3.5,1.7
"Hammersmith and Fulham 007B","E01001853",695,21,674,180,62,2.2,4.4,2.3
"Hammersmith and Fulham 007C","E01001854",887,30,857,328,102,1.9,3.5,1.8
"Hammersmith and Fulham 007D","E01001857",733,18,715,247,147,2.0,3.5,1.7
"Hammersmith and Fulham 008A","E01001859",1140,24,1116,414,144,2.2,3.7,2.0
"Hammersmith and Fulham 008B","E01001865",651,20,631,151,87,2.5,4.5,2.3
"Hammersmith and Fulham 008C","E01001927",557,11,546,90,38,2.7,6.2,3.3
"Hammersmith and Fulham 008D","E01001930",842,26,816,235,76,2.0,4.2,2.2
"Hammersmith and Fulham 009A","E01001895",674,12,662,152,85,2.4,4.4,2.2
"Hammersmith and Fulham 009B","E01001896",669,16,653,233,103,2.2,3.7,1.9
"Hammersmith and Fulham 009C","E01001897",619,11,608,122,61,2.4,4.7,2.4
"Hammersmith and Fulham 009D","E01001929",597,20,577,72,28,2.1,4.6,2.4
"Hammersmith and Fulham 010A","E01001851",696,17,679,141,40,2.3,4.8,2.5
"Hammersmith and Fulham 010B","E01001855",894,57,837,300,75,1.9,3.6,1.8
"Hammersmith and Fulham 010C","E01001856",730,48,682,288,102,2.3,3.9,2.2
"Hammersmith and Fulham 010D","E01001869",574,15,559,112,33,2.3,5.1,2.6
"Hammersmith and Fulham 010E","E01001873",689,27,662,213,100,2.1,3.9,2.0
"Hammersmith and Fulham 011A","E01001928",722,22,700,198,74,2.4,4.6,2.4
"Hammersmith and Fulham 011B","E01001931",709,27,682,253,100,2.1,3.8,1.9
"Hammersmith and Fulham 011C","E01001932",757,44,713,232,84,2.1,4.1,2.1
"Hammersmith and Fulham 011D","E01001933",635,28,607,109,43,2.1,4.9,2.5
"Hammersmith and Fulham 012A","E01001866",704,37,667,172,62,2.2,4.6,2.4
"Hammersmith and Fulham 012B","E01001867",612,4,608,140,60,2.1,4.1,2.2
"Hammersmith and Fulham 012C","E01001868",603,35,568,242,104,2.2,3.6,2.0
"Hammersmith and Fulham 012D","E01001870",1009,39,970,411,155,1.9,3.4,1.8
"Hammersmith and Fulham 012E","E01001871",769,29,740,163,98,2.1,4.0,2.1
"Hammersmith and Fulham 012F","E01001872",759,23,736,250,73,2.1,3.9,2.0
"Hammersmith and Fulham 013A","E01001893",504,26,478,141,79,2.5,4.2,2.3
"Hammersmith and Fulham 013B","E01001894",602,19,583,176,80,2.1,3.8,1.9
"Hammersmith and Fulham 013C","E01001898",736,19,717,232,86,2.1,4.1,2.2
"Hammersmith and Fulham 013D","E01001899",691,22,669,204,101,2.0,3.7,1.8
"Hammersmith and Fulham 013E","E01001900",723,20,703,204,101,2.3,4.1,2.2
"Hammersmith and Fulham 014A","E01001889",593,14,579,96,40,2.3,4.7,2.6
"Hammersmith and Fulham 014B","E01001910",840,52,788,271,92,1.8,3.4,1.7
"Hammersmith and Fulham 014C","E01001913",774,23,751,167,106,2.0,4.0,2.0
"Hammersmith and Fulham 014D","E01001914",887,27,860,355,148,1.9,3.4,1.8
"Hammersmith and Fulham 015A","E01001885",538,8,530,179,92,2.5,4.0,2.2
"Hammersmith and Fulham 015B","E01001908",875,41,834,333,107,1.9,3.4,1.8
"Hammersmith and Fulham 015C","E01001909",821,25,796,256,134,2.2,4.1,2.0
"Hammersmith and Fulham 015D","E01001911",751,18,733,229,137,2.3,3.9,2.0
"Hammersmith and Fulham 015E","E01001912",600,20,580,210,122,2.7,4.1,2.2
"Hammersmith and Fulham 016A","E01001886",628,19,609,181,99,2.5,4.4,2.4
"Hammersmith and Fulham 016B","E01001887",658,15,643,186,103,2.3,4.1,2.2
"Hammersmith and Fulham 016C","E01001890",950,28,922,461,102,1.9,3.4,2.1
"Hammersmith and Fulham 016D","E01001892",605,24,581,165,90,2.3,4.1,2.2
"Hammersmith and Fulham 017A","E01001880",757,15,742,185,77,2.0,3.8,1.9
"Hammersmith and Fulham 017B","E01001881",681,14,667,144,75,2.3,4.6,2.4
"Hammersmith and Fulham 017C","E01001882",702,21,681,168,84,2.5,4.6,2.5
"Hammersmith and Fulham 017D","E01001883",734,23,711,197,93,2.0,3.8,1.9
"Hammersmith and Fulham 017E","E01001884",931,52,879,298,127,2.0,3.9,2.0
"Hammersmith and Fulham 018A","E01001888",644,12,632,97,51,2.5,5.0,2.8
"Hammersmith and Fulham 018B","E01001891",863,32,831,282,113,2.3,4.1,2.3
"Hammersmith and Fulham 018C","E01001917",684,21,663,97,61,2.1,4.6,2.3
"Hammersmith and Fulham 018D","E01001918",622,10,612,78,38,2.4,4.8,2.7
"Hammersmith and Fulham 018E","E01001919",639,15,624,63,39,2.6,5.4,3.0
